Metric		Current
UNIT_SIZE_COMPONENT_SPL_NEGLIGIBLE_RISK_COUNT		25
UNIT_SIZE_COMPONENT_SPL_LOW_RISK_LOC		36
UNIT_SIZE_COMPONENT_SPL_LOW_RISK_PERCENTAGE		8.45
UNIT_SIZE_COMPONENT_SPL_LOW_RISK_COUNT		2
UNIT_SIZE_COMPONENT_SPL_MEDIUM_RISK_LOC		171
UNIT_SIZE_COMPONENT_SPL_MEDIUM_RISK_PERCENTAGE		40.14
UNIT_SIZE_COMPONENT_SPL_MEDIUM_RISK_COUNT		6
UNIT_SIZE_COMPONENT_SPL_HIGH_RISK_LOC		66
UNIT_SIZE_COMPONENT_SPL_HIGH_RISK_PERCENTAGE		15.49
UNIT_SIZE_COMPONENT_SPL_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_SPL_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SPL_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SPL_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		85
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		36.8
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		16
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		53
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		22.94
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		3
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		93
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		40.26
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		4
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_LOW_RISK_LOC		18
UNIT_SIZE_EXTENSION_TS_LOW_RISK_PERCENTAGE		43.9
UNIT_SIZE_EXTENSION_TS_LOW_RISK_COUNT		1
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_LOC		23
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_PERCENTAGE		56.1
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_COUNT		1
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_LOC		75
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_PERCENTAGE		34.56
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_COUNT		11
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_LOC		0
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_LOC		76
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_PERCENTAGE		35.02
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_COUNT		2
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_LOC		66
