Metric		Current
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_PRISMA		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_PRISMA		39
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		31
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TOML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TOML		3
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		43
LOW_RISK_FILE_SIZE_COUNT		17
MEDIUM_RISK_FILE_SIZE_COUNT		8
HIGH_RISK_FILE_SIZE_COUNT		1
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		1,795
LOW_RISK_FILE_SIZE_LOC		2,608
MEDIUM_RISK_FILE_SIZE_LOC		2,465
HIGH_RISK_FILE_SIZE_LOC		533
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		45
LINES_OF_CODE_IN_UNITS		529
LINES_OF_CODE_OUTSIDE_UNITS		6,872
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		175
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		33.08
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		31
UNIT_SIZE_LOW_RISK_LOC		96
UNIT_SIZE_LOW_RISK_PERCENTAGE		18.15
UNIT_SIZE_LOW_RISK_COUNT		6
UNIT_SIZE_MEDIUM_RISK_LOC		192
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		36.29
UNIT_SIZE_MEDIUM_RISK_COUNT		7
UNIT_SIZE_HIGH_RISK_LOC		66
UNIT_SIZE_HIGH_RISK_PERCENTAGE		12.48
UNIT_SIZE_HIGH_RISK_COUNT		1
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_SRC_NEGLIGIBLE_RISK_LOC		11
UNIT_SIZE_COMPONENT_BACKEND_SRC_NEGLIGIBLE_RISK_PERCENTAGE		17.46
UNIT_SIZE_COMPONENT_BACKEND_SRC_NEGLIGIBLE_RISK_COUNT		3
UNIT_SIZE_COMPONENT_BACKEND_SRC_LOW_RISK_LOC		31
UNIT_SIZE_COMPONENT_BACKEND_SRC_LOW_RISK_PERCENTAGE		49.21
UNIT_SIZE_COMPONENT_BACKEND_SRC_LOW_RISK_COUNT		2
UNIT_SIZE_COMPONENT_BACKEND_SRC_MEDIUM_RISK_LOC		21
UNIT_SIZE_COMPONENT_BACKEND_SRC_MEDIUM_RISK_PERCENTAGE		33.33
UNIT_SIZE_COMPONENT_BACKEND_SRC_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_BACKEND_SRC_HIGH_RISK_LOC		0
